,Trump,Cruz,Rubio,Kasich
Alabama,36,13,1,0
Alaska,11,12,5,0
Arizona,,,,
Arkansas,16,14,9,0
California,,,,
Colorado,,,,
Connecticut,,,,
Delaware,,,,
Florida,,,,
Georgia,40,18,14,0
Hawaii,10,6,0,0
Idaho,12,20,0,0
Illinois,,,,
Indiana,,,,
Iowa,8,7,7,0
Kansas,,,,
Kentucky,17,15,7,7
Louisiana,15,14,0,0
Maine,9,12,0,2
Maryland,,,,
Massachusetts,22,4,8,8
Michigan,25,17,0,17
Minnesota,8,13,17,0
Mississippi,24,13,0,0
Missouri,,,,
Montana,,,,
Nebraska,,,,
Nevada,14,6,7,1
New Hampshire,11,3,2,4
New Jersey,,,,
New Mexico,,,,
New York,,,,
North Carolina,,,,
North Dakota,,,,
Ohio,,,,
Oklahoma,12,14,11,0
Oregon,,,,
Pennsylvania,,,,
Rhode Island,,,,
South Carolina,50,0,0,0
South Dakota,,,,
Tennessee,31,14,9,0
Texas,38,99,4,0
Utah,,,,
Vermont,6,0,0,6
Virginia,17,8,16,5
Washington,,,,
West Virginia,,,,
Wisconsin,,,,
Wyoming,,,,
Washington DC,,,,
