,Electoral Votes,R Dels,D Dels
Alabama,9,50,53
Alaska,3,28,16
Arizona,11,58,75
Arkansas,6,40,32
California,55,172,475
Colorado,9,37,66
Connecticut,7,28,55
Delaware,3,16,21
Florida,29,99,214
Georgia,16,76,102
Hawaii,4,19,25
Idaho,4,32,23
Illinois,20,69,156
Indiana,11,57,83
Iowa,6,30,44
Kansas,6,40,33
Kentucky,8,46,55
Louisiana,8,46,51
Maine,4,23,25
Maryland,10,38,95
Massachusetts,11,42,91
Michigan,16,59,130
Minnesota,10,38,77
Mississippi,6,40,36
Missouri,10,52,71
Montana,3,27,21
Nebraska,5,36,25
Nevada,6,30,35
New Hampshire,4,23,24
New Jersey,14,51,126
New Mexico,5,24,34
New York,29,95,247
North Carolina,15,72,107
North Dakota,3,28,18
Ohio,18,66,143
Oklahoma,7,43,38
Oregon,7,28,61
Pennsylvania,20,71,189
Rhode Island,4,19,24
South Carolina,9,50,53
South Dakota,3,29,20
Tennessee,11,58,67
Texas,38,155,222
Utah,6,40,33
Vermont,3,16,16
Virginia,13,49,95
Washington,12,44,101
West Virginia,5,34,29
Wisconsin,10,42,86
Wyoming,3,29,14
Washington DC,3,19,20
American Samoa,0,9,6
CNMI,0,9,6
Guam,0,9,7
Virgin Islands,0,9,7
Puerto Rico,0,23,60
